PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp,summary_score,star
050549,1,8,9,7,8,8,5,2,3) # of groups=5,0.0634316674903479,4.0
050551,1,8,7,6,6,7,5,2,3) # of groups=5,-0.4689277305026522,2.0
050557,1,8,11,7,7,9,5,2,3) # of groups=5,-0.3773830628017814,2.0
050561,1,8,1,0,6,4,3,1,1) # of groups=3,-0.3728123602872923,3.0
050567,1,8,11,7,7,11,5,2,3) # of groups=5,0.2306210012155809,4.0
050570,1,8,8,7,8,7,5,2,3) # of groups=5,-0.2129482439449832,3.0
050573,1,8,11,7,8,10,5,2,3) # of groups=5,0.2636692588745907,4.0
050580,1,8,5,3,3,6,5,2,3) # of groups=5,0.3334237860225289,4.0
050581,1,8,8,6,7,7,5,2,3) # of groups=5,-0.4012481069943996,2.0
050586,0,8,3,2,2,6,3,0,1) # of groups=3,0.6954503415811667,N/A
050588,1,8,4,2,4,8,4,1,2) # of groups=4,-0.8108729665668409,1.0
050589,1,8,6,2,4,8,4,1,2) # of groups=4,-0.054087026469413,3.0
050590,1,8,6,5,5,9,5,2,3) # of groups=5,0.0207630652117295,3.0
050597,1,8,6,5,6,8,5,2,3) # of groups=5,0.1020042662167325,4.0
050599,1,8,11,7,8,10,5,2,3) # of groups=5,0.051295379831498,3.0
050603,1,8,7,7,6,8,5,2,3) # of groups=5,-0.0220945676630681,3.0
050604,1,8,2,2,6,4,3,1,1) # of groups=3,0.4745947110464291,5.0
050608,0,8,4,2,2,8,3,0,1) # of groups=3,-0.5404001549809311,N/A
050609,1,8,1,0,7,4,3,1,1) # of groups=3,-0.0208997556125151,3.0
050624,1,8,9,6,7,10,5,2,3) # of groups=5,-0.2144312253341186,3.0
050625,1,8,11,7,8,11,5,2,3) # of groups=5,0.4824856714765989,5.0
050633,1,8,7,4,5,10,5,2,3) # of groups=5,-0.5101761542857722,2.0
050636,1,8,7,4,5,9,5,2,3) # of groups=5,0.0029621224539404,3.0
050641,0,8,3,2,2,8,3,0,1) # of groups=3,-0.3099079062673675,N/A
050663,1,8,5,3,5,6,5,2,3) # of groups=5,0.262354374166628,4.0
050668,0,0,2,1,1,3,1,0,,-1.8246049531358408,N/A
050674,1,8,3,5,6,4,5,2,3) # of groups=5,0.2725072082602938,4.0
050677,1,8,1,0,6,4,3,1,1) # of groups=3,-0.4355588249554076,3.0
050678,1,8,10,7,8,8,5,2,3) # of groups=5,0.2148493939689875,4.0
050684,0,8,2,2,2,6,2,0,,-0.1684256599852415,N/A
050686,1,8,1,0,6,4,3,1,1) # of groups=3,-0.1543610364755959,3.0
050689,1,8,7,5,4,9,5,2,3) # of groups=5,0.0435901472047104,3.0
050690,1,8,1,0,6,4,3,1,1) # of groups=3,0.7370863836402952,5.0
050696,1,8,10,5,8,7,5,2,3) # of groups=5,0.3634152825635879,4.0
050697,0,0,1,0,1,2,0,0,,-0.2141066046817214,N/A
050701,1,8,7,6,7,9,5,2,3) # of groups=5,0.0076117678908236,3.0
050704,1,8,5,4,6,7,5,2,3) # of groups=5,-0.4214704138991082,2.0
050708,0,8,3,0,2,2,2,0,,0.5266165801953451,N/A
050709,1,8,8,6,6,9,5,2,3) # of groups=5,-0.300496773525588,2.0
050710,1,8,1,0,6,4,3,1,1) # of groups=3,-0.4593113032214495,3.0
050714,0,8,4,0,2,4,3,0,1) # of groups=3,0.791280409713492,N/A
050717,1,8,1,0,4,3,3,1,1) # of groups=3,-0.4581861432267949,3.0
050723,1,8,1,0,6,4,3,1,1) # of groups=3,-0.1456349557376861,3.0
050724,1,8,8,7,3,6,5,2,3) # of groups=5,-0.0215795203404236,3.0
050726,0,8,4,0,2,3,3,0,1) # of groups=3,1.0468938034405966,N/A
050735,1,8,5,3,4,9,5,2,3) # of groups=5,0.0567863490556036,3.0
050736,1,8,4,2,4,7,4,1,2) # of groups=4,0.0012479684599252,3.0
050737,1,8,8,7,7,9,5,2,3) # of groups=5,-0.7386131865524632,1.0
050738,1,8,2,2,4,6,3,1,1) # of groups=3,0.1164707372402856,4.0
050739,1,8,5,6,6,8,5,2,3) # of groups=5,-0.0699794940865713,3.0
050740,1,8,6,4,7,8,5,2,3) # of groups=5,0.1574217696499235,4.0
050744,0,8,2,1,2,5,2,0,,0.2521772353512973,N/A
050745,1,8,4,1,4,5,4,1,2) # of groups=4,-0.773054139909054,1.0
050746,1,8,3,5,6,7,5,2,3) # of groups=5,-0.5594507340116222,2.0
050747,0,8,2,1,2,6,2,0,,-0.235497688511824,N/A
050748,1,8,1,0,6,4,3,1,1) # of groups=3,0.5342593407465643,5.0
050755,1,8,6,5,3,6,5,2,3) # of groups=5,-0.0338606695734788,3.0
050757,1,8,8,5,6,7,5,2,3) # of groups=5,-0.3371187223422493,2.0
050758,1,8,3,1,3,8,4,1,2) # of groups=4,-0.1426736235648456,2.0
050760,1,8,1,1,6,4,3,1,1) # of groups=3,0.3249148305103932,4.0
050761,1,8,9,6,8,9,5,2,3) # of groups=5,0.1995687078338351,4.0
050763,1,0,5,3,2,4,3,1,1) # of groups=3,0.3068728003983649,4.0
050764,1,8,9,7,7,6,5,2,3) # of groups=5,-0.9908147474764252,1.0
050765,1,8,1,0,5,4,3,1,1) # of groups=3,0.1551397769316833,4.0
050766,0,0,3,0,2,2,1,0,,-0.7745862190823337,N/A
050767,1,8,1,0,6,4,3,1,1) # of groups=3,0.5720468683309391,5.0
050769,0,8,3,1,2,2,2,0,,1.0024147246446855,N/A
050770,1,8,7,7,6,8,5,2,3) # of groups=5,-0.6394214207063915,1.0
050771,1,8,3,2,3,7,4,1,2) # of groups=4,-0.024659606737332,3.0
050772,1,8,1,0,6,4,3,1,1) # of groups=3,-0.6227247006931829,2.0
050775,1,8,8,7,7,6,5,2,3) # of groups=5,0.0159052926097754,3.0
050776,1,8,5,3,5,7,5,2,3) # of groups=5,-0.6224307710685978,2.0
050777,1,8,1,0,6,4,3,1,1) # of groups=3,-0.3612535636901537,3.0
050778,1,8,0,0,4,6,3,1,1) # of groups=3,-0.3149147820758604,3.0
050779,1,8,4,2,3,8,4,1,2) # of groups=4,0.4620823515629134,4.0
050780,0,8,4,2,2,6,3,0,1) # of groups=3,0.2985747497567156,N/A
050782,1,8,6,2,3,3,4,1,2) # of groups=4,0.4846859009324995,4.0
050783,1,0,4,3,1,6,3,1,1) # of groups=3,0.1394834758342588,4.0
050784,0,8,4,2,2,7,3,0,1) # of groups=3,0.1148024534207786,N/A
050785,0,8,2,0,2,2,1,0,,1.3065215165052133,N/A
05114F,1,8,6,5,4,6,5,2,3) # of groups=5,0.4003823528705733,5.0
05127F,1,8,6,5,4,6,5,2,3) # of groups=5,-0.0904380198888147,3.0
05128F,1,8,6,5,4,6,5,2,3) # of groups=5,0.0012761115518037,3.0
051300,0,0,2,1,0,2,0,0,,-0.7259431804141205,N/A
051301,0,8,4,2,2,6,3,0,1) # of groups=3,0.5087040616096371,N/A
051302,0,0,0,0,0,2,0,0,,-1.7832952319059532,N/A
051303,0,8,2,0,1,5,2,0,,-0.0712520934317225,N/A
051304,0,0,3,2,0,4,2,0,,0.3874164584288492,N/A
051305,0,0,2,1,0,2,0,0,,-0.4205973647449934,N/A
051306,0,0,2,0,1,3,1,0,,0.6352067879334871,N/A
051307,0,0,0,0,0,3,1,0,,0.9263436235447762,N/A
051308,0,0,0,0,0,1,0,0,,-3.058736957090419,N/A
051309,0,0,0,0,0,1,0,0,,-0.6329576065327882,N/A
05130F,1,8,6,5,4,5,5,2,3) # of groups=5,-0.1285598354462833,3.0
051310,1,8,7,3,3,6,5,2,3) # of groups=5,0.4703554533997748,5.0
051311,0,0,3,1,0,5,2,0,,-0.8637236828222705,N/A
051312,0,0,1,0,0,4,1,0,,-0.1013132677029352,N/A
051314,0,0,2,0,1,4,1,0,,0.0425454265805341,N/A
051315,0,0,2,0,0,5,1,0,,-0.0690477829830047,N/A
051316,1,8,7,4,2,7,4,1,2) # of groups=4,-1.1016110593391295,1.0
051317,1,8,6,4,1,6,4,1,2) # of groups=4,0.2181378171637717,3.0
051318,0,0,5,2,2,5,2,0,,0.2055750415627124,N/A
051319,1,8,6,3,1,9,4,1,2) # of groups=4,0.2639788783629282,3.0
051320,0,8,5,2,0,7,3,0,1) # of groups=3,-0.1545368371744519,N/A
051321,0,0,3,1,2,3,2,0,,-0.391885958902057,N/A
051323,0,0,1,0,0,4,1,0,,-1.2233184382759434,N/A
051324,0,8,3,2,0,8,3,0,1) # of groups=3,0.1866795305532572,N/A
051325,0,8,8,2,1,6,3,0,1) # of groups=3,-0.9084919093464388,N/A
051326,0,0,1,0,0,6,1,0,,-0.5251429887334549,N/A
051327,0,0,1,0,0,3,1,0,,0.0569942571230758,N/A
051328,0,8,7,2,2,9,3,0,1) # of groups=3,-0.3336104240488419,N/A
051329,1,8,6,3,1,9,4,1,2) # of groups=4,0.8231871590640761,5.0
051330,0,0,2,1,0,2,0,0,,0.0455127894566263,N/A
051331,0,0,2,0,0,7,1,0,,0.4799694004993561,N/A
051332,1,8,9,4,1,7,4,1,2) # of groups=4,-0.009267493345791,3.0
051333,0,0,4,0,0,5,2,0,,-1.035606437334026,N/A
051334,0,0,1,0,0,4,1,0,,1.0218969162981484,N/A
051335,0,0,0,0,0,3,1,0,,0.0102216068123836,N/A
051336,0,0,1,0,0,6,1,0,,0.7759590695896591,N/A
051337,0,0,2,0,0,3,1,0,,-0.0559558641601569,N/A
060001,1,8,11,7,7,10,5,2,3) # of groups=5,0.2183856815044648,4.0
060003,1,8,6,5,5,9,5,2,3) # of groups=5,0.4816116299116541,5.0
060004,1,8,5,2,5,10,4,1,2) # of groups=4,-0.1935617204739996,2.0
060006,1,8,10,5,3,11,5,2,3) # of groups=5,0.1823725252039371,4.0
060008,1,8,7,2,3,10,4,1,2) # of groups=4,-0.7027637387613281,1.0
060009,1,8,9,6,6,10,5,2,3) # of groups=5,0.1461128090618169,4.0
060010,1,8,10,6,7,9,5,2,3) # of groups=5,0.5219595052345454,5.0
060011,1,8,7,4,6,10,5,2,3) # of groups=5,-0.3711912975853831,2.0
060012,1,8,7,1,4,9,4,1,2) # of groups=4,0.2269409138765128,3.0
