PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp
050243,1,8,9,7,7,8,5,2,3) # of groups=5
050245,1,8,6,4,7,8,5,2,3) # of groups=5
050248,1,8,6,5,6,9,5,2,3) # of groups=5
050254,1,8,9,6,5,11,5,2,3) # of groups=5
050257,0,0,3,2,2,2,1,0,
05025F,1,8,6,4,3,5,5,2,3) # of groups=5
050261,1,8,10,6,6,8,5,2,3) # of groups=5
050262,1,8,10,7,6,9,5,2,3) # of groups=5
050272,1,8,8,4,7,9,5,2,3) # of groups=5
050276,1,8,6,3,6,9,5,2,3) # of groups=5
050278,1,8,10,6,8,9,5,2,3) # of groups=5
050279,0,8,3,2,2,8,3,0,1) # of groups=3
05027F,1,8,6,5,4,6,5,2,3) # of groups=5
050280,1,8,11,7,7,9,5,2,3) # of groups=5
050281,1,8,3,3,4,6,5,2,3) # of groups=5
050283,1,8,9,7,7,11,5,2,3) # of groups=5
050289,1,8,8,7,5,8,5,2,3) # of groups=5
050290,1,8,11,7,7,7,5,2,3) # of groups=5
050291,1,8,10,6,7,10,5,2,3) # of groups=5
050292,1,8,6,5,6,9,5,2,3) # of groups=5
050295,1,8,7,6,8,9,5,2,3) # of groups=5
050298,1,8,4,2,4,7,4,1,2) # of groups=4
050300,1,8,8,6,7,8,5,2,3) # of groups=5
050301,1,8,9,4,5,11,5,2,3) # of groups=5
050305,1,8,9,6,6,10,5,2,3) # of groups=5
050308,1,8,11,7,8,9,5,2,3) # of groups=5
050309,1,8,10,6,8,7,5,2,3) # of groups=5
05030F,1,8,4,5,3,5,5,2,3) # of groups=5
050313,1,8,6,3,5,12,5,2,3) # of groups=5
050315,1,8,7,2,8,9,4,1,2) # of groups=4
05031F,1,8,6,5,4,6,5,2,3) # of groups=5
050320,1,8,9,6,6,10,5,2,3) # of groups=5
050324,1,8,9,7,8,8,5,2,3) # of groups=5
050327,1,8,11,7,8,8,5,2,3) # of groups=5
050329,1,8,5,5,5,9,5,2,3) # of groups=5
050334,1,8,10,7,6,9,5,2,3) # of groups=5
050335,1,8,10,6,5,11,5,2,3) # of groups=5
050336,1,8,6,5,6,10,5,2,3) # of groups=5
050342,1,8,9,4,4,9,5,2,3) # of groups=5
050348,1,8,11,6,8,11,5,2,3) # of groups=5
050350,1,8,4,4,5,9,5,2,3) # of groups=5
050351,1,8,11,7,8,10,5,2,3) # of groups=5
050352,1,8,5,2,4,9,4,1,2) # of groups=4
050353,1,8,8,6,8,10,5,2,3) # of groups=5
050357,1,8,5,1,3,6,4,1,2) # of groups=4
050360,1,8,11,7,7,11,5,2,3) # of groups=5
050367,1,8,11,7,7,9,5,2,3) # of groups=5
050373,1,8,6,6,7,9,5,2,3) # of groups=5
050376,1,8,6,6,6,9,5,2,3) # of groups=5
050378,1,8,1,0,4,6,3,1,1) # of groups=3
050380,1,8,9,7,7,8,5,2,3) # of groups=5
050382,1,8,9,7,7,10,5,2,3) # of groups=5
050390,1,8,5,3,6,8,5,2,3) # of groups=5
050393,1,8,6,4,7,7,5,2,3) # of groups=5
050394,1,8,11,7,7,10,5,2,3) # of groups=5
050396,1,8,11,7,8,9,5,2,3) # of groups=5
050407,1,8,8,3,2,8,4,1,2) # of groups=4
050411,1,8,1,0,6,4,3,1,1) # of groups=3
050414,1,8,7,6,7,8,5,2,3) # of groups=5
050417,1,8,9,4,4,7,5,2,3) # of groups=5
050423,0,0,2,0,1,7,1,0,
050424,1,8,6,4,7,5,5,2,3) # of groups=5
050425,1,8,3,3,7,3,5,2,3) # of groups=5
050426,1,8,5,5,5,7,5,2,3) # of groups=5
050438,1,8,9,7,8,9,5,2,3) # of groups=5
050441,1,8,11,7,8,9,5,2,3) # of groups=5
050444,1,8,10,6,7,8,5,2,3) # of groups=5
050454,1,8,11,7,8,10,5,2,3) # of groups=5
050455,1,8,10,6,7,11,5,2,3) # of groups=5
050457,1,8,10,6,6,8,5,2,3) # of groups=5
050464,1,8,8,7,6,9,5,2,3) # of groups=5
050468,1,8,4,4,5,7,5,2,3) # of groups=5
050471,1,8,9,7,7,10,5,2,3) # of groups=5
050481,1,8,8,7,7,6,5,2,3) # of groups=5
050485,1,8,11,7,8,8,5,2,3) # of groups=5
050488,1,8,7,6,7,8,5,2,3) # of groups=5
050492,1,8,10,6,7,8,5,2,3) # of groups=5
050496,1,8,11,7,7,8,5,2,3) # of groups=5
050498,1,8,9,4,5,8,5,2,3) # of groups=5
050503,1,8,8,6,7,11,5,2,3) # of groups=5
050506,1,8,7,5,7,8,5,2,3) # of groups=5
050510,1,8,1,0,5,3,3,1,1) # of groups=3
050512,1,8,1,0,6,3,3,1,1) # of groups=3
050515,1,8,2,0,6,4,3,1,1) # of groups=3
050516,1,8,11,7,8,9,5,2,3) # of groups=5
050517,1,8,6,2,5,7,4,1,2) # of groups=4
050523,1,8,7,6,5,9,5,2,3) # of groups=5
050526,0,8,3,2,2,6,3,0,1) # of groups=3
050528,0,8,4,2,2,9,3,0,1) # of groups=3
